name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated
Тупикин Дмитрий Васильевич,41,2236,164090,28076,637,1644,18.5,0.39,1.0,False,9,0,1,0
Батышева Татьяна Тимофеевна,42,14314,160228,28875,702,2046,19.74,0.44,1.28,True,10,1,3,1
Логинов Алексей Михайлович,42,1439,160228,28875,702,2046,19.74,0.44,1.28,False,5,0,3,0
Меньшиков Михаил Васильевич,42,4911,160228,28875,702,2046,19.74,0.44,1.28,False,9,0,3,0
Новиков Юрий Михайлович,42,6884,160228,28875,702,2046,19.74,0.44,1.28,False,4,0,3,0
Чуев Александр Викторович,42,2989,160228,28875,702,2046,19.74,0.44,1.28,False,8,0,3,0
Денисенко Татьяна Ивановна,43,6624,148136,29515,133,1844,21.26,0.09,1.24,False,4,0,3,0
Иваненко Сергей Викторович,43,3566,148136,29515,133,1844,21.26,0.09,1.24,False,9,0,3,0
Иксанова Арина Тахировна,43,1962,148136,29515,133,1844,21.26,0.09,1.24,False,8,0,3,0
Кравченко Юрий Александрович,43,959,148136,29515,133,1844,21.26,0.09,1.24,False,5,0,3,0
Шастина Вера Ростиславовна,43,8942,148136,29515,133,1844,21.26,0.09,1.24,True,10,1,3,1
Ярмольник Леонид Исаакович,43,8626,148136,29515,133,1844,21.26,0.09,1.24,False,11,0,3,0
Гнездилов Александр Валентинович,44,4876,158895,28099,66,2145,19.08,0.04,1.35,False,9,0,8,0
Пономарёв Константин Алексеевич,44,2036,158895,28099,66,2145,19.08,0.04,1.35,False,5,0,8,0
Свиридов Илья Тимурович,44,10494,158895,28099,66,2145,19.08,0.04,1.35,False,8,0,8,0
Шувалова Елена Анатольевна,44,11845,158895,28099,66,2145,19.08,0.04,1.35,True,4,0,8,0
Бабич Барбара Адамовна,45,702,151365,28921,164,2335,20.76,0.11,1.54,False,0,0,1,0
Кавказский Николай Юрьевич,45,4010,151365,28921,164,2335,20.76,0.11,1.54,False,9,0,1,0
Комендантов Антон Андреевич,45,783,151365,28921,164,2335,20.76,0.11,1.54,False,0,0,1,0
Кузьминов Ярослав Иванович,45,12860,151365,28921,164,2335,20.76,0.11,1.54,True,0,1,1,0
Симонян Кристина Владиславовна,45,3527,151365,28921,164,2335,20.76,0.11,1.54,False,8,0,1,0
Умников Антон Геннадьевич,45,1234,151365,28921,164,2335,20.76,0.11,1.54,False,5,0,1,0
Фомичева Елена Алексеевна,45,7347,151365,28921,164,2335,20.76,0.11,1.54,False,4,0,1,0
