name, party
Журавский Сергей Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Ломакина Татьяна Евгеньевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Почукаев Анатолий Юрьевич,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Чернышов Борис Александрович,Московское городское отделение политической партии Либерально-демократическая партия России
Шинкаренко Татьяна Андреевна,Самовыдвижение
Греков Платон Евгеньевич,Московское городское отделение политической партии Либерально-демократическая партия России
Гусева Людмила Ивановна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Макаров Вячеслав Геннадьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Попов Александр Викторович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Тарасов Антон Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Животов Геннадий Васильевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Кочетков Владимир Валерьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Огородников Георгий Борисович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Семенников Александр Григорьевич,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Юриков Антон Вадимович,Московское городское отделение политической партии Либерально-демократическая партия России
Анохина Ольга Ярославовна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Борщев Валерий Васильевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Васильев Сергей Иванович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Лайшев Ренат Алексеевич,Самовыдвижение
Паращенко Сергей Николаевич,Московское городское отделение политической партии Либерально-демократическая партия России
Устинов Арсений Григорьевич,Самовыдвижение
Волков Николай Юрьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Гринченко Владимир Владимирович,Московское городское отделение политической партии Либерально-демократическая партия России
Росс Сергей Геннадьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Семенов Григорий Викторович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Шарапова Ольга Викторовна,Самовыдвижение
Вышегородцев Михаил Михайлович,Региональное отделение в городе Москве Политической партии Гражданская Платформа
Губенко Николай Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Мишин Геннадий Александрович,Московское городское отделение политической партии Либерально-демократическая партия России
Рамазанов Сираждин Омарович,Региональное отделение в городе Москве Всероссийской политической партии Социал-демократическая партия России
Рублева Юлия Владимировна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Русакова Елена Леонидовна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Сильнов Алексей Сергеевич,Самовыдвижение
Балакин Михаил Дмитриевич,Московское городское отделение политической партии Либерально-демократическая партия России
Сагенбаев Игорь Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Токаев Борис Владимирович,Самовыдвижение
Хандриков Илья Николаевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Шелудько Александр Леонидович,Самовыдвижение
Ширяев Денис Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Лябихов Роман Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Московченко Николай Михайлович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Ноздрин Александр Дмитриевич,Московское городское отделение политической партии Либерально-демократическая партия России
Палеев Антон Рафаэльевич,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Сиднев Виктор Владимирович,Региональное отделение в городе Москве Политической партии Гражданская Платформа
Сысоев Дмитрий Ростиславович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Милявский Александр Борисович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Павленков Юрий Викторович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Радаева Ольга Вячеславовна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Раменский Павел Олегович,Московское городское отделение политической партии Либерально-демократическая партия России
Святошенко Владимир Алексеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Александрова Мария Александровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
