,name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,state_employee,affiliation
205,Фролова Ольга Викторовна,4,1,-1,41,10546,163708,27592,875,2268,18.77,0.53,1.39,0,2,-1,2
206,Енгалычева Екатерина Александровна,4,1,0,42,14298,160709,30185,1013,2318,20.86,0.63,1.44,1,4,-1,2
207,Кагарлицкий Борис Юльевич,8,0,-1,42,2974,160709,30185,1013,2318,20.86,0.63,1.44,0,4,-1,2
208,Коршунова Ольга Сергеевна,3,0,-1,42,1203,160709,30185,1013,2318,20.86,0.63,1.44,0,4,-1,0
209,Костычева Марина Александровна,7,0,-1,42,916,160709,30185,1013,2318,20.86,0.63,1.44,0,4,-1,2
210,Меньшиков Михаил Васильевич,0,0,-1,42,2936,160709,30185,1013,2318,20.86,0.63,1.44,0,4,0,2
211,Никитин Кирилл Михайлович,0,0,-1,42,6948,160709,30185,1013,2318,20.86,0.63,1.44,0,4,1,1
212,Раменский Павел Олегович,5,0,-1,42,3179,160709,30185,1013,2318,20.86,0.63,1.44,0,4,-1,2
213,Митрохин Сергей Сергеевич,9,1,0,43,16120,144778,32966,822,2383,24.98,0.57,1.65,1,7,-1,2
214,Боровик Евгений Михайлович,8,0,-1,43,4952,144778,32966,822,2383,24.98,0.57,1.65,0,7,-1,2
215,Климентьев Роман Валерьевич,4,0,-1,43,6529,144778,32966,822,2383,24.98,0.57,1.65,0,7,-1,2
216,Кошлаков-Крестовский Дмитрий Владимирович,5,0,-1,43,7231,144778,32966,822,2383,24.98,0.57,1.65,0,7,-1,2
217,Шувалова Елена Анатольевна,4,0,0,44,16710,157114,33582,577,3143,23.74,0.37,2.0,1,3,-1,2
218,Нечаева Екатерина Сергеевна,5,1,-1,44,1714,157114,33582,577,3143,23.74,0.37,2.0,0,3,-1,2
219,Свиридов Илья Тимурович,0,1,-1,44,15738,157114,33582,577,3143,23.74,0.37,2.0,0,3,1,2
220,Шалимова Надежда Валерьевна,0,1,-1,44,1793,157114,33582,577,3143,23.74,0.37,2.0,0,3,0,2
221,Яндиев Магомет Исаевич,8,1,0,45,12942,148192,30459,592,3058,23.02,0.4,2.06,1,6,-1,2
222,Касамара Валерия Александровна,0,0,-1,45,11014,148192,30459,592,3058,23.02,0.4,2.06,0,6,1,0
223,Конев Михаил Андреевич,0,0,-1,45,3365,148192,30459,592,3058,23.02,0.4,2.06,0,6,0,0
224,Турушев Евгений Иванович,5,0,-1,45,4124,148192,30459,592,3058,23.02,0.4,2.06,0,6,-1,2
