name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Дрыга Алексей Сергеевич,27,11044,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,1,-1,-1,4
Ерохов Сергей Викторович,27,1999,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,8
Коровин Сергей Николаевич,27,2285,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,5
Орлов Степан Владимирович,27,12943,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,True,0,0,1,1,0
Елисеев Сергей Геннадиевич,28,2377,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,0,-1,-1,5
Лазарев Константин Александрович,28,6992,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,1,-1,-1,4
Павлинов Аркадий Борисович,28,7716,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,0,-1,-1,8
Самышина Елена Александровна,28,11570,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,True,1,0,1,1,0
Артемьев Олег Германович,29,11560,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,True,1,0,1,1,0
Журавский Сергей Владимирович,29,2337,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,0,-1,-1,8
Сергеев Николай Владимирович,29,9288,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,1,-1,-1,4
Чернышов Борис Александрович,29,3510,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,0,-1,-1,5
Викулин Петр Николаевич,30,2641,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,False,3,0,-1,-1,3
Галибин Илья Геннадьевич,30,1387,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,False,3,0,-1,-1,5
Жуковский Владислав Сергеевич,30,8346,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,False,3,1,-1,-1,4
