name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Дьячков Роман Михайлович,32,4326,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,4,2
Журавский Сергей Владимирович,32,1807,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,8,2
Ломакина Татьяна Евгеньевна,32,12036,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,True,4,1,1,10,1
Почукаев Анатолий Юрьевич,32,2927,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,7,0
Чернышов Борис Александрович,32,1828,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,5,2
Шинкаренко Татьяна Андреевна,32,1510,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,0,0
Греков Платон Евгеньевич,33,2403,176030,32040,702,1287,19.33136397205022,2.062946310499868,3.782068235916424,False,3,0,0,5,2
Гусева Людмила Ивановна,33,18979,176030,32040,702,1287,19.33136397205022,2.062946310499868,3.782068235916424,True,3,1,1,10,1
Макаров Вячеслав Геннадьевич,33,2199,176030,32040,702,1287,19.33136397205022,2.062946310499868,3.782068235916424,False,3,0,0,8,2
Попов Александр Викторович,33,3143,176030,32040,702,1287,19.33136397205022,2.062946310499868,3.782068235916424,False,3,0,0,9,2
Тарасов Антон Александрович,33,6155,176030,32040,702,1287,19.33136397205022,2.062946310499868,3.782068235916424,False,3,0,0,4,2
Животов Геннадий Васильевич,34,5424,168565,31214,504,1453,19.6784623142408,1.5193994754454192,4.380332217901179,False,3,0,0,4,2
Кочетков Владимир Валерьевич,34,7034,168565,31214,504,1453,19.6784623142408,1.5193994754454192,4.380332217901179,False,3,0,0,8,2
Огородников Георгий Борисович,34,3358,168565,31214,504,1453,19.6784623142408,1.5193994754454192,4.380332217901179,False,3,0,0,9,2
Семенников Александр Григорьевич,34,13913,168565,31214,504,1453,19.6784623142408,1.5193994754454192,4.380332217901179,True,3,1,1,10,1
Юриков Антон Вадимович,34,2209,168565,31214,504,1453,19.6784623142408,1.5193994754454192,4.380332217901179,False,3,0,0,5,2
Анохина Ольга Ярославовна,35,6393,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,False,3,0,0,4,2
Борщев Валерий Васильевич,35,5420,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,False,3,0,0,9,2
Васильев Сергей Иванович,35,8579,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,False,3,0,0,8,2
Лайшев Ренат Алексеевич,35,13771,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,True,3,1,0,0,1
Паращенко Сергей Николаевич,35,869,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,False,3,0,0,5,2
Устинов Арсений Григорьевич,35,1126,177390,35112,463,1823,21.082360899712494,1.2380341194716296,4.874592224183111,False,3,0,0,0,0
Волков Николай Юрьевич,36,4561,145974,27853,805,1840,20.892761724690697,2.6395173453996983,6.033182503770739,False,3,0,0,4,2
